stop_id,stop_name,stop_lat,stop_lon,has_park,GridID,nodeid_before,type,geometry,x,y,nodeid,p_n_dist
6924,10900 Medlock Bridge Rd (S),34.0482027,-84.1774811,FALSE,292,111323,grta,POINT (2293307.668370982 1472601.998951324),2293307.668,1472601.999,111323,0.022732389
6907,17th St @ Market St,33.791328,-84.3947732,FALSE,249,196778,grta,POINT (2227282.709961289 1379207.826423506),2227282.71,1379207.826,196778,0.023726397
7010,17th St just before Spring St,33.79197,-84.3889368,FALSE,249,52012,grta,POINT (2229056.363317962 1379437.555138229),2229056.363,1379437.555,52012,0.018393329
6934,5510 Spalding Dr (S),33.9699886,-84.2231917,FALSE,291,330368,grta,POINT (2279446.337074823 1444145.845364194),2279446.337,1444145.845,330368,0.009276466
6935,5515 Spalding Dr (N),33.9702326,-84.2231058,FALSE,291,330368,grta,POINT (2279472.428708046 1444234.617682074),2279472.429,1444234.618,330368,0.013208447
6937,5664 Peachtree Parkway (N),33.9637523,-84.2245311,FALSE,291,210003,grta,POINT (2279038.983528063 1441876.809653012),2279038.984,1441876.81,210003,0.104332422
6938,6155 Peachtree Parkway (S),33.9513523,-84.2348599,FALSE,291,330359,grta,POINT (2275904.31731082 1437366.634023214),2275904.317,1437366.634,330359,0.00420822
6923,Across from 11315 Johns Creek Pkwy (N),34.0559828,-84.1698421,FALSE,293,275467,grta,POINT (2295621.590096983 1475432.899038329),2295621.59,1475432.899,275467,0.030133289
STOP_9d288c5e-3b4d-4947-b8d7-dc21063358e0,Acworth P&R,34.0772609,-84.6564603,TRUE,173,993534,grta,POINT (2148276.024936845 1483530.862225101),2148276.025,1483530.862,32326,0.044340069
6886,Baker St @ Peachtree St,33.7623448,-84.3870378,FALSE,248,500174,grta,POINT (2229610.240852474 1368656.614197379),2229610.241,1368656.614,500174,0.016624623
6878,Baker St @ Williams St,33.7623537,-84.3902779,FALSE,248,50923,grta,POINT (2228625.545686926 1368661.972935911),2228625.546,1368661.973,50923,0.014659685
6975,BrandsMart P&R,33.5470729,-84.2854893,TRUE,265,993520,grta,POINT (2260381.892808706 1290276.717759567),2260381.893,1290276.718,325745,0.09657781
6962,Canton P&R (Boling Park),34.2301432,-84.5006213,TRUE,215,993538,grta,POINT (2195645.667519417 1538973.577709935),2195645.668,1538973.578,340622,0.032293231
Central Ave (NB) @ MLK Jr Dr,Central Ave (NB) @ MLK Jr Dr,33.75104813,-84.38966002,FALSE,248,276948,grta,POINT (2228804.429655278 1364547.829465066),2228804.43,1364547.829,276948,0.014178928
STOP_36f0d156-f1de-42de-9fd7-dffb4853afbc,Central Ave @ Garnett St,33.7475908,-84.3921232,FALSE,248,300062,grta,POINT (2228052.993637626 1363291.446494868),2228052.994,1363291.446,300062,0.013953162
6881,Central Ave @ Mitchell St,33.7494285,-84.3907499,FALSE,248,50617,grta,POINT (2228471.879088573 1363959.216373536),2228471.879,1363959.216,50617,0.015584017
7000,Central Ave @ Wall St,33.7524258,-84.3883789,FALSE,248,13230,grta,POINT (2229194.905001078 1365048.279679474),2229194.905,1365048.28,13230,0.012303553
7006,Courtland @ Auburn Ave,33.7562437,-84.3843555,FALSE,248,500211,grta,POINT (2230420.734209103 1366434.885779067),2230420.734,1366434.886,500211,0.008858961
7005,Courtland @ Ellis St,33.7587056,-84.3843126,FALSE,248,500196,grta,POINT (2230435.663813871 1367330.66522055),2230435.664,1367330.665,500196,0.022364323
Courtland St (SB) @ Gilmer St,Courtland St (SB) @ Gilmer St,33.75331818,-84.38546241,FALSE,248,50966,grta,POINT (2230082.049528994 1365371.094762753),2230082.05,1365371.095,50966,0.014689538
6913,Cumming P&R,34.1812757,-84.1428065,TRUE,314,993501,grta,POINT (2303799.207617081 1521026.374335764),2303799.208,1521026.374,500091,0.042094809
7160,Dacula P&R (Hebron Baptist Church),33.9987655,-83.9070511,TRUE,372,993507,grta,POINT (2375265.944893761 1454712.155705165),2375265.945,1454712.156,208239,0.055473535
6942,Doraville MARTA Station,33.9024615,-84.280586,TRUE,270,990039,grta,POINT (2262018.520157719 1419588.683215646),2262018.52,1419588.683,90005,0.042145029
6956,Douglas Multi Modal Center P&R,33.7432997,-84.7262299,TRUE,168,993527,grta,POINT (2126487.728806509 1362116.537398346),2126487.729,1362116.537,500119,0.082706444
6970,Dunwoody MARTA,33.9213639,-84.3442726,FALSE,251,990033,grta,POINT (2242706.938554822 1426494.250661817),2242706.939,1426494.251,269468,0.053096656
6972,East Conyers P&R (Springfield Church),33.6412408,-83.9868414,TRUE,346,993515,grta,POINT (2351310.834419042 1324567.247504719),2351310.834,1324567.248,993515,0.010085587
6905,Forsyth St @ MLK Jr Dr,33.7523188,-84.3937433,FALSE,248,500235,grta,POINT (2227564.330957889 1365012.893748149),2227564.331,1365012.894,500235,0.011166325
6930,Forum @ 5555 Ptree Pkwy (S),33.9810764,-84.215666,FALSE,291,285975,grta,POINT (2281729.872147116 1448179.30081665),2281729.872,1448179.301,285975,0.038390448
6931,GA 141,33.9809176,-84.2152161,FALSE,291,285975,grta,POINT (2281866.225669757 1448121.451721122),2281866.226,1448121.452,285975,0.043430944
6925,GA 141 @ Abbotts Br ShpCtr (N),34.0467209,-84.1781636,FALSE,292,111323,grta,POINT (2293100.880261441 1472062.817752855),2293100.88,1472062.818,111323,0.08794088
6927,GA 141 @ Medlock Br Pkwy (N),34.0294378,-84.1866944,FALSE,292,111180,grta,POINT (2290515.646936028 1465774.17676856),2290515.647,1465774.177,111180,0.015589514
6926,GA 141 @ Medlock Br Pkwy (S),34.0292595,-84.1871168,FALSE,292,111180,grta,POINT (2290387.661899744 1465709.321688048),2290387.662,1465709.322,111180,0.020670076
6929,GA 141 @ Medlock Crossing ShpCtr (S),34.0172921,-84.1904481,FALSE,292,246984,grta,POINT (2289377.383806034 1461354.807949475),2289377.384,1461354.808,246984,0.013846886
10973355,GA 141 @ Parsons Rd (N),34.0401782,-84.1842949,FALSE,292,111284,grta,POINT (2291243.282536124 1469682.297845802),2291243.283,1469682.298,111284,0.002712988
10973356,GA 141 @ Parsons Rd (S),34.0402493,-84.1845202,FALSE,292,111283,grta,POINT (2291175.037817068 1469708.181817641),2291175.038,1469708.182,111283,0.002768363
6928,GA 141@ State Br Corners ShpCtr (N),34.0171449,-84.190027,FALSE,292,246984,grta,POINT (2289504.96798814 1461301.21507908),2289504.968,1461301.215,246984,0.022696474
6991,Hamilton Mill P&R,34.0751992,-83.9215887,TRUE,353,993505,grta,POINT (2370793.382196188 1482514.375211862),2370793.382,1482514.375,208416,0.109549434
6951,Hampton P&R (Boothe's Crossing),33.3815011,-84.2997479,TRUE,263,993521,grta,POINT (2255960.593868096 1230038.656007841),2255960.594,1230038.656,500114,0.028084102
6936,HCA @ 5707 Peachtree Parkway (S),33.9641971,-84.2247725,FALSE,291,94698,grta,POINT (2278965.883352053 1442038.704594948),2278965.883,1442038.705,94698,0.114112021
STOP_b4c9d917-9de4-4086-ab79-b4036873b927,Hewatt Rd P&R,33.8393561,-84.0598619,TRUE,329,993512,grta,POINT (2329013.335743653 1396623.945283615),2329013.336,1396623.945,103180,0.029794814
STOP_02b00696-312d-447b-959a-147470685d50,Hiram P&R,33.8852642,-84.7392011,TRUE,150,993528,grta,POINT (2122831.976812618 1413795.857136088),2122831.977,1413795.857,191234,0.082720648
6902,Ivan Allen @ Alexander St,33.7649403,-84.386791,FALSE,248,51069,grta,POINT (2229687.262635715 1369600.874713814),2229687.263,1369600.875,51069,0.020726185
6974,JC Pkwy @ Commerce Way (N),34.0717541,-84.1651071,FALSE,293,253962,grta,POINT (2297055.591169455 1481171.831248666),2297055.591,1481171.831,125135,0.08761728
6921,JC Pkwy @ E Johns Crossing (N),34.0632101,-84.1645968,FALSE,293,112429,grta,POINT (2297210.179922587 1478062.796533552),2297210.18,1478062.797,112429,0.017844146
6917,JC Pkwy @ Johns Creek Ct (N),34.0682583,-84.1618609,FALSE,293,125132,grta,POINT (2298038.644809922 1479899.79048785),2298038.645,1479899.79,125130,0.150492876
6889,John Portman Blvd @ Peachtree St,33.7609177,-84.3878424,FALSE,248,51055,grta,POINT (2229364.600026469 1368137.86122127),2229364.6,1368137.861,51055,0.015543476
7004,John Portman Blvd just past Peachtree Center Ave,33.760915,-84.384411,FALSE,248,51072,grta,POINT (2230407.455539721 1368134.658931232),2230407.456,1368134.659,51072,0.013025725
6969,Jonesboro P&R,33.5242952,-84.3620825,TRUE,245,993522,grta,POINT (2237030.759955101 1282024.303776033),2237030.76,1282024.304,295553,0.098567825
STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9,Lindbergh Center MARTA Station,33.82128296,-84.36898249,FALSE,249,999019,grta,POINT (2235139.565290743 1390091.195337956),2235139.565,1390091.195,201584,0.014862067
6988,Mall of Georgia P&R,34.0674946,-83.9828107,TRUE,353,2900,grta,POINT (2352260.262650627 1479671.897308344),2352260.263,1479671.897,126369,0.19084139
6949,McDonough P&R,33.4168724,-84.1812265,TRUE,283,993518,grta,POINT (2292140.779330695 1242882.716273505),2292140.779,1242882.716,268998,0.340163136
6971,Medical Center MARTA Station,33.9108668,-84.3514824,FALSE,250,990032,grta,POINT (2240512.982939028 1422678.455222843),2240512.983,1422678.455,60572,0.080301937
Mitchell St (EB) @ Peachtree St,Mitchell St (EB) @ Peachtree St,33.75106626,-84.39323048,FALSE,248,50834,grta,POINT (2227719.199487556 1364556.791835194),2227719.199,1364556.792,50834,0.015793657
6882,MLK Jr Dr just before Peachtree St,33.7519084,-84.3916726,FALSE,248,500239,grta,POINT (2228193.387071718 1364862.182785744),2228193.387,1364862.183,500239,0.014840091
6954,Newnan P&R,33.4037073,-84.7231185,TRUE,163,993524,grta,POINT (2126769.883738732 1238546.31096731),2126769.884,1238546.311,289912,0.171419685
North Ave (EB) @ Peachtree St,North Ave (EB) @ Peachtree St,33.771284,-84.3854028,FALSE,248,51867,grta,POINT (2230114.037355438 1371908.251069838),2230114.037,1371908.251,51867,0.025150966
6948,Panola Rd P&R,33.7021979,-84.1734052,TRUE,287,993517,grta,POINT (2294533.99485288 1346699.712493736),2294533.995,1346699.712,244088,0.093606318
7003,Peachtree Center Ave @ Andrew Young International Blvd,33.759437,-84.3859971,FALSE,248,51004,grta,POINT (2229924.270197118 1367597.883334299),2229924.27,1367597.883,51004,0.016649073
7001,Peachtree Center Ave @ Auburn Ave,33.7553249,-84.38604,FALSE,248,50997,grta,POINT (2229908.048555224 1366101.64886423),2229908.049,1366101.649,50997,0.017944404
7002,Peachtree Center Ave @ John Wesley Dobbs Ave,33.7569484,-84.3860292,FALSE,248,50998,grta,POINT (2229912.587805785 1366692.381698935),2229912.588,1366692.382,50998,0.013039341
6880,Peachtree Center Ave between Baker & Peachtree,33.7635222,-84.3859112,FALSE,248,276591,grta,POINT (2229953.538113102 1369084.302946495),2229953.538,1369084.303,276591,0.023839599
Peachtree Center Pkwy (N),Peachtree Center Pkwy (N),33.92758867,-84.34409049,FALSE,251,60766,grta,POINT (2242766.095859481 1428759.209891887),2242766.096,1428759.21,60766,0.027220261
Peachtree Center Pkwy (S),Peachtree Center Pkwy (S),33.92748638,-84.34420242,FALSE,251,60766,grta,POINT (2242732.080180182 1428722.047526447),2242732.08,1428722.048,60766,0.03123415
Peachtree Center Pkwy Office Park (N),Peachtree Center Pkwy Office Park (N),33.92555773,-84.34508902,FALSE,251,269477,grta,POINT (2242461.931051927 1428020.720892747),2242461.931,1428020.721,269477,0.009807204
Peachtree Center Pkwy Office Park (S),Peachtree Center Pkwy Office Park (S),33.92559497,-84.34520572,FALSE,251,269477,grta,POINT (2242426.555604803 1428034.333243467),2242426.556,1428034.333,269477,0.01230657
North Ave. (EB) @ Peachtree St.,Peachtree St (NB) @ Linden Ave,33.76950958,-84.38519476,FALSE,248,51125,grta,POINT (2230175.887581977 1371262.460706128),2230175.888,1371262.461,51125,0.02143612
Peachtree St (NB) @ MARTA Five Points Station,Peachtree St (NB) @ MARTA Five Points Station,33.75341811,-84.39079278,FALSE,248,990007,grta,POINT (2228462.000441645 1365410.935473761),2228462,1365410.935,340425,0.001953758
6888,Peachtree St @ Baker St,33.762541,-84.3874133,FALSE,248,261219,grta,POINT (2229496.275119014 1368728.249329283),2229496.275,1368728.249,261219,0.010220395
6895,Ponce de Leon Ave @ W Peachtree St,33.77233826,-84.38771229,FALSE,248,51862,grta,POINT (2229413.053438042 1372293.360832657),2229413.053,1372293.361,51862,0.022371888
STOP_0bc0e1fb-eab4-4376-b8ba-bd64fe7247d0,Powder Springs P&R,33.8675114,-84.7015643,TRUE,170,993529,grta,POINT (2134220.41558653 1407274.419742683),2134220.416,1407274.42,500124,0.048263001
Pryor St (SB) @ Garnett St,Pryor St (SB) @ Garnett St,33.74830922,-84.39341409,FALSE,248,50602,grta,POINT (2227661.185377008 1363553.716513023),2227661.185,1363553.717,50602,0.018439353
Pryor St (SB) @ Mitchell St,Pryor St (SB) @ Mitchell St,33.75071571,-84.39150481,FALSE,248,233439,grta,POINT (2228243.440308165 1364428.090015933),2228243.44,1364428.09,233439,0.001048989
6999,PtreeDunwoody-Concourse (E),33.9160665,-84.3511391,FALSE,250,210268,grta,POINT (2240620.534042067 1424570.319529806),2240620.534,1424570.32,210268,0.004207578
6998,PtreeDunwoody-Concourse (W),33.9168856,-84.3514073,FALSE,250,210270,grta,POINT (2240539.707212185 1424868.517654717),2240539.707,1424868.518,210270,0.015447337
6939,Publix,33.9517705,-84.2342806,FALSE,291,94559,grta,POINT (2276080.085413247 1437518.69182163),2276080.085,1437518.692,94559,0.025105453
6952,Riverdale P&R,33.5679493,-84.4034743,TRUE,225,993523,grta,POINT (2224452.946639308 1297934.382277803),2224452.947,1297934.382,311441,0.022654465
Sandy Springs MARTA Station,Sandy Springs MARTA Station,33.9322072,-84.3507597,FALSE,251,993034,grta,POINT (2240746.163314275 1430443.353618267),2240746.163,1430443.354,243287,0.04575674
STOP_f24b301d-699f-4911-8ac0-60f2867a047e,Snellville P&R,33.8537913,-84.0154445,TRUE,330,993511,grta,POINT (2342492.442099127 1401893.434170328),2342492.442,1401893.434,329172,0.031136011
Spring St (NB) @ Brotherton St,Spring St (NB) @ Brotherton St,33.74875018,-84.39797184,FALSE,248,50553,grta,POINT (2226276.168651403 1363717.244101912),2226276.169,1363717.244,50553,0.010415862
6898,Spring St @ 17th St,33.7903204,-84.3894196,FALSE,249,51858,grta,POINT (2228908.387686619 1378837.631724049),2228908.388,1378837.632,51858,0.029463683
6901,Spring St @ 5th St,33.7770249,-84.3889046,FALSE,248,51877,grta,POINT (2229054.416571519 1373999.46388218),2229054.417,1373999.464,51877,0.016342279
6909,Spring St @ W Peachtree Pl,33.7638343,-84.3889046,FALSE,248,51058,grta,POINT (2229044.068058976 1369199.814192517),2229044.068,1369199.814,51058,0.013015735
6903,Spring St just before Linden Ave,33.77073318,-84.38896364,FALSE,248,224853,grta,POINT (2229031.538877505 1371710.139779861),2229031.539,1371710.14,224853,0.027693875
6950,Stockbridge P&R,33.5481698,-84.2789904,TRUE,265,999037,grta,POINT (2262362.332333674 1290673.623198838),2262362.332,1290673.623,211500,0.036077291
6987,Stone Mountain P&R,33.8224138,-84.1099548,TRUE,309,993513,grta,POINT (2313806.614302593 1390447.038375598),2313806.614,1390447.038,329549,0.09180378
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,Sugarloaf Mills P&R,33.9842748,-84.0794849,TRUE,311,227812,grta,POINT (2323010.275947524 1449350.824556528),2323010.276,1449350.825,302401,0.080427123
Sugarloaf Mills P&R (GCT),Sugarloaf Mills P&R (GCT),33.98331276,-84.08417535,TRUE,311,500098,grta,POINT (2321588.766246909 1448999.58007155),2321588.766,1448999.58,500098,0.002267058
Ted Turner Dr (NB) @ Mitchell St,Ted Turner Dr (NB) @ Mitchell St,33.75220879,-84.39578455,FALSE,248,50824,grta,POINT (2226943.811269595 1364974.236965471),2226943.811,1364974.237,50824,0.012988711
Ted Turner Dr (SB) @ Brotherton St,Ted Turner Dr (SB) @ Brotherton St,33.74918754,-84.39803505,FALSE,248,50554,grta,POINT (2226257.312417757 1363876.428405824),2226257.312,1363876.428,50554,0.014066815
STOP_b7df8404-b783-4731-a3de-33b77167f80e,Thornton Rd @ Bankhead Hwy,33.7973464,-84.6436715,FALSE,189,33027,grta,POINT (2151675.023354589 1381656.554049078),2151675.023,1381656.554,33027,0.010954047
STOP_7050625b-a9d6-45dd-9ea8-79d7e55968c6,Thornton Rd @ Bankhead Hwy N,33.7975603,-84.6435857,FALSE,189,33027,grta,POINT (2151701.448978841 1381734.266068052),2151701.449,1381734.266,33027,0.012968235
STOP_e3133ab4-8cb7-4555-93b3-3faba9b51fe7,Thornton Rd @ Maxham Rd,33.7893753,-84.6237159,FALSE,189,305216,grta,POINT (2157724.475094316 1378728.592408933),2157724.475,1378728.592,305216,0.0159499
STOP_82875802-85f5-44e6-86a6-eb0b5d77b45d,Thornton Rd @ Maxham Rd N,33.7897587,-84.623791,FALSE,189,305216,grta,POINT (2157702.277357509 1378868.202732392),2157702.277,1378868.203,305216,0.035972071
STOP_0c2e82f3-d5a1-4a82-bcbf-219194c3301b,Thornton Rd @ N Blairs Bridge Rd N,33.7795575,-84.6068823,FALSE,189,33164,grta,POINT (2162823.567938579 1375133.88983893),2162823.568,1375133.89,33164,0.015663515
STOP_16153206-724d-4aac-a936-7ade27ff5271,Thornton Rd @ N Blairs Bridge Rd S,33.7794773,-84.6072257,FALSE,189,33163,grta,POINT (2162719.100102828 1375105.153180697),2162719.1,1375105.153,33163,0.018343328
STOP_40f29da1-1006-4e7b-8041-2f98b7c895de,Thornton Rd @ Oak Ridge Rd,33.783392,-84.6097684,FALSE,189,199588,grta,POINT (2161952.618034838 1376532.918381722),2161952.618,1376532.918,199588,0.028189766
STOP_d5b4d0b9-f615-40ee-8dc1-f9edacf74962,Thornton Rd @ Skyview Dr,33.7819385,-84.6088672,FALSE,189,33187,grta,POINT (2162224.168304806 1376002.852959109),2162224.168,1376002.853,33187,0.014528185
STOP_cc2a7a34-e728-4710-bc09-9cb16ae12282,Thornton Rd @ Westfork Blvd,33.792291,-84.6300995,FALSE,189,33088,grta,POINT (2155789.792042446 1379798.203250905),2155789.792,1379798.203,33088,0.215825585
STOP_7be618c3-765a-4f46-83a4-1b306a89f681,Town Center/Big Shanty,34.0275707,-84.5705652,FALSE,192,993535,grta,POINT (2174213.478656586 1465335.539516291),2174213.479,1465335.54,279488,0.070651633
6933,Triangle Pkwy at Metric Dr (N),33.9753055,-84.2239274,FALSE,291,109693,grta,POINT (2279224.371403888 1446080.682252506),2279224.371,1446080.682,94719,0.256192089
6932,Triangle Pkwy at Metric Dr (S),33.9753556,-84.2242891,FALSE,291,109693,grta,POINT (2279114.72994183 1446098.974077634),2279114.73,1446098.974,109621,0.259223491
6953,Union City P&R,33.5866936,-84.5124578,TRUE,206,993525,grta,POINT (2191279.76567439 1304847.985863014),2191279.766,1304847.986,211372,0.017962061
6916,W Johns Crossing @ Emory Hospital,34.067414,-84.1749179,FALSE,293,232286,grta,POINT (2294084.619003186 1479592.628564354),2294084.619,1479592.629,246791,0.122647941
W Peachtree St @ 12th St,W Peachtree St @ 12th St,33.78425259,-84.38782298,FALSE,249,51931,grta,POINT (2229388.72108943 1376628.693065148),2229388.721,1376628.693,51931,0.013333373
6896,W Peachtree St @ 5th St,33.7760885,-84.3872416,FALSE,248,51879,grta,POINT (2229559.005196193 1373657.651054608),2229559.005,1373657.651,51879,0.01459862
6899,W Peachtree St @ Arts Center MARTA Station,33.7892148,-84.3876922,FALSE,249,285785,grta,POINT (2229432.329916407 1378434.206629126),2229432.33,1378434.207,285785,0.004847763
6904,W Peachtree St @ Civic Center MARTA Station (northbound),33.7661533,-84.3874776,FALSE,248,51097,grta,POINT (2229479.549019158 1370042.693618474),2229479.549,1370042.694,51097,0.015875387
6887,W Peachtree St @ Civic Center MARTA Station (southbound),33.7661444,-84.3875849,FALSE,248,990026,grta,POINT (2229446.933866828 1370039.525051445),2229446.934,1370039.525,51097,0.017440882
6897,W Peachtree St @ Peachtree Pl,33.780596,-84.387328,FALSE,249,51929,grta,POINT (2229536.263416486 1375297.848556047),2229536.263,1375297.849,51929,0.012735947
6894,W Peachtree St @ Ponce de Leon Ave,33.7721199,-84.3872631,FALSE,248,51862,grta,POINT (2229549.381338049 1372213.613949236),2229549.381,1372213.614,51862,0.01316119
6900,W Peachtree St after 14 St,33.7869499,-84.3877137,FALSE,249,51950,grta,POINT (2229424.029673763 1377610.091540407),2229424.03,1377610.092,51950,0.019621245
Wall St (EB) @ Central Ave,Wall St (EB) @ Central Ave,33.7526685,-84.38853165,FALSE,248,13230,grta,POINT (2229148.667239989 1365136.690268809),2229148.667,1365136.69,13230,0.013989471
7008,Washington St @ MLK Jr Dr,33.7503117,-84.3884003,FALSE,248,224903,grta,POINT (2229186.746558292 1364279.040716595),2229186.747,1364279.041,224903,0.008718066
6947,West Conyers P&R (Sigman Rd -  Downtown),33.6851303,-84.0588963,TRUE,327,993516,grta,POINT (2329365.190687474 1340506.470844742),2329365.191,1340506.471,98047,0.067353689
6946,West Conyers P&R (Sigman Rd -  Midtown),33.6851328,-84.0566843,TRUE,327,994516,grta,POINT (2330038.041688042 1340508.089644553),2330038.042,1340508.09,500109,0.040292863
2221057,West Conyers P&R (Sigman Rd - Perimeter),33.6850857,-84.0569758,TRUE,327,994516,grta,POINT (2329949.390651388 1340490.857416157),2329949.391,1340490.857,500109,0.038132081
6990,West Douglas P&R,33.7232689,-84.7735226,TRUE,148,993526,grta,POINT (2112068.658147026 1354909.146009),2112068.658,1354909.146,26064,0.084884138
6873,Williams St @ Baker St,33.7624608,-84.3906641,FALSE,248,50923,grta,POINT (2228508.259917711 1368701.198042986),2228508.26,1368701.198,50923,0.017831779
6976,Woodstock P&R (His Hands Church),34.0815631,-84.5417543,TRUE,213,993537,grta,POINT (2183014.443086015 1484949.500318133),2183014.443,1484949.5,264051,0.24314455
8000,Mitchell St (EB) @ Forsyth St,33.751718,-84.394543,FALSE,248,50828,grta,POINT (2227320.78188714 1364794.818080194),2227320.782,1364794.818,50828,0.012984273
