,stop_id,stop_name,stop_lat,stop_lon,hasPark,geometry,GridID,link_dist,linkid,node_dist,nodeid,lat_node,lon_node
0,6924,10900 Medlock Bridge Rd (S),34.0482027,-84.1774811,False,POINT (2293307.66837099 1472601.998951322),292.0,58.0043306095,152851,120.02701185,111323,1472482.20691,2293466.78372
1,6907,17th St @ Market St,33.791328,-84.3947732,False,POINT (2227282.709961297 1379207.826423504),249.0,78.0295597205,125645,125.275375935,196778,1379130.01402,2227445.81504
2,7010,17th St just before Spring St,33.79197,-84.3889368,False,POINT (2229056.36331797 1379437.555138227),249.0,76.6997268707,147297,97.1167765719,52012,1379380.79961,2228977.55673
3,6934,5510 Spalding Dr (S),33.9699886,-84.2231917,False,POINT (2279446.33707483 1444145.845364192),291.0,36.2042933777,190401,48.9797398552,330368,1444187.6736,2279420.85348
4,6935,5515 Spalding Dr (N),33.9702326,-84.2231058,False,POINT (2279472.428708053 1444234.617682071),291.0,55.913671846,190401,69.7405978627,330368,1444187.6736,2279420.85348
5,6937,5664 Peachtree Parkway (N),33.9637523,-84.2245311,False,POINT (2279038.983528071 1441876.80965301),291.0,105.606551518,37337,550.875189655,210003,1441509.968,2279316.85238
6,6938,6155 Peachtree Parkway (S),33.9513523,-84.2348599,False,POINT (2275904.317310828 1437366.634023212),291.0,17.7601946751,208397,22.2194029888,330359,1437348.87396,2275945.02415
7,6923,Across from 11315 Johns Creek Pkwy (N),34.0559828,-84.1698421,False,POINT (2295621.590096991 1475432.899038327),293.0,79.041179144,73227,159.103764545,275467,1475560.51342,2300380.326
8,STOP_9d288c5e-3b4d-4947-b8d7-dc21063358e0,Acworth P&R,34.0772609,-84.6564603,True,POINT (2148276.024936852 1483530.862225098),173.0,1.03258161936,210391,3.00964889396,993534,1483528.0421,2148276.1102
9,6886,Baker St @ Peachtree St,33.7623448,-84.3870378,False,POINT (2229610.240852481 1368656.614197377),248.0,38.0749518503,164027,87.7780119258,500174,1368615.88498,2229455.78445
10,6878,Baker St @ Williams St,33.7623537,-84.3902779,False,POINT (2228625.545686933 1368661.972935908),248.0,39.541661213,176686,77.4031392289,50923,1368622.04127,2228559.23801
11,6975,BrandsMart P&R,33.5470729,-84.2854893,True,POINT (2260381.892808714 1290276.717759565),265.0,4.10661249702,187788,23.2536999398,993520,1290294.05849,2260366.39979
12,6962,Canton P&R (Boling Park),34.2301432,-84.5006213,True,POINT (2195645.667519425 1538973.577709933),215.0,13.0708521163,181438,105.137895957,993538,1538956.0756,2195804.72183
13,Central Ave (NB) @ MLK Jr Dr,Central Ave (NB) @ MLK Jr Dr,33.75104813,-84.38966002,False,POINT (2228804.429655285 1364547.829465064),248.0,15.2343687435,172267,74.8647411799,276948,1364600.63396,2228857.49956
14,STOP_36f0d156-f1de-42de-9fd7-dffb4853afbc,Central Ave @ Garnett St,33.7475908,-84.3921232,False,POINT (2228052.993637633 1363291.446494865),248.0,33.5596686553,182000,73.6726959103,300062,1363256.20751,2228134.66636
15,6881,Central Ave @ Mitchell St,33.7494285,-84.3907499,False,POINT (2228471.87908858 1363959.216373533),248.0,11.4262638761,210918,82.2836120283,50617,1364033.7578,2228506.72401
16,7000,Central Ave @ Wall St,33.7524258,-84.3883789,False,POINT (2229194.905001086 1365048.279679471),248.0,21.4065754847,173791,64.9627584878,13230,1365109.27632,2229217.25606
17,7006,Courtland @ Auburn Ave,33.7562437,-84.3843555,False,POINT (2230420.73420911 1366434.885779065),248.0,30.3914260914,210876,46.7753129491,500211,1366463.86219,2230168.59536
18,7005,Courtland @ Ellis St,33.7587056,-84.3843126,False,POINT (2230435.663813879 1367330.665220547),248.0,36.3878850758,210812,118.083624125,500196,1367442.64402,2230470.91595
19,Courtland St (SB) @ Gilmer St,Courtland St (SB) @ Gilmer St,33.75331818,-84.38546241,False,POINT (2230082.049529002 1365371.094762751),248.0,6.65613722684,202899,77.5607622698,50966,1365423.87542,2229934.76053
20,6913,Cumming P&R,34.1812757,-84.1428065,True,POINT (2303799.207617088 1521026.374335762),314.0,17.2300524685,66093,96.4258723371,993501,1520967.59846,2303587.98133
21,7160,Dacula P&R (Hebron Baptist Church),33.9987655,-83.9070511,True,POINT (2375265.944893769 1454712.155705163),372.0,1.54233624296,133513,34.8471695092,993507,1454679.23497,2375363.79841
22,6942,Doraville MARTA Station,33.9024615,-84.280586,True,POINT (2262018.520157726 1419588.683215644),270.0,5.1805561081,50884,214.604487538,990039,1419777.19126,2262109.37498
23,6956,Douglas Multi Modal Center P&R,33.7432997,-84.7262299,True,POINT (2126487.728806517 1362116.537398344),168.0,19.7578961961,186775,41.8395704409,993527,1362075.61801,2126512.98738
24,6970,Dunwoody MARTA,33.9213639,-84.3442726,False,POINT (2242706.93855483 1426494.250661815),251.0,0.370384094842,167642,37.819307176,990033,1426465.8265,2242681.99127
25,6972,East Conyers P&R (Springfield Church),33.6412408,-83.9868414,True,POINT (2351310.83441905 1324567.247504716),346.0,9.51354506198,72815,53.2519000268,993515,1324607.81303,2351276.3351
26,6905,Forsyth St @ MLK Jr Dr,33.7523188,-84.3937433,False,POINT (2227564.330957896 1365012.893748146),248.0,16.6357473658,36247,58.9581958702,500235,1364974.70145,2227655.1286
27,6930,Forum @ 5555 Ptree Pkwy (S),33.9810764,-84.215666,False,POINT (2281729.872147124 1448179.300816648),291.0,58.5466584061,206612,202.701567807,285975,1447981.77527,2282069.65691
28,6931,GA 141,33.9809176,-84.2152161,False,POINT (2281866.225669764 1448121.451721119),291.0,88.5367314688,206612,229.315385023,285975,1447981.77527,2282069.65691
29,6925,GA 141 @ Abbotts Br ShpCtr (N),34.0467209,-84.1781636,False,POINT (2293100.880261449 1472062.817752853),292.0,84.5558427944,6944,464.327846368,111323,1472482.20691,2293300.16168
30,6927,GA 141 @ Medlock Br Pkwy (N),34.0294378,-84.1866944,False,POINT (2290515.646936036 1465774.176768558),292.0,19.5144271688,168676,82.3126357685,111180,1465805.37578,2292480.31588
31,6926,GA 141 @ Medlock Br Pkwy (S),34.0292595,-84.1871168,False,POINT (2290387.661899752 1465709.321688046),292.0,33.1535106306,197534,109.13799997,111180,1465805.37578,2290439.47613
32,6929,GA 141 @ Medlock Crossing ShpCtr (S),34.0172921,-84.1904481,False,POINT (2289377.383806042 1461354.807949472),292.0,44.3182693377,203527,73.1115570822,246984,1461398.97022,2289186.97142
33,10973355,GA 141 @ Parsons Rd (N),34.0401782,-84.1842949,False,POINT (2291243.282536132 1469682.2978458),292.0,8.53666734992,7018,14.3245779295,111284,1469695.1426,2291667.05931
34,10973356,GA 141 @ Parsons Rd (S),34.0402493,-84.1845202,False,POINT (2291175.037817076 1469708.181817639),292.0,2.16895632886,7010,14.6169559978,111283,1469702.42868,2290137.34681
35,6928,GA 141@ State Br Corners ShpCtr (N),34.0171449,-84.190027,False,POINT (2289504.967988147 1461301.215079078),292.0,92.955941669,203527,119.837383049,246984,1461398.97022,2289186.97142
36,6991,Hamilton Mill P&R,34.0751992,-83.9215887,True,POINT (2370793.382196195 1482514.37521186),353.0,1.43428408048,210415,25.5779989409,993505,1482528.9355,2370953.13203
37,6951,Hampton P&R (Boothe's Crossing),33.3815011,-84.2997479,True,POINT (2255960.593868104 1230038.656007839),263.0,0.09582016109,201601,7.16234151912,993521,1230031.49398,2255309.37546
38,6936,HCA @ 5707 Peachtree Parkway (S),33.9641971,-84.2247725,False,POINT (2278965.883352061 1442038.704594946),291.0,46.1179248582,197076,602.511472513,94698,1442528.44005,2278628.02042
39,STOP_b4c9d917-9de4-4086-ab79-b4036873b927,Hewatt Rd P&R,33.8393561,-84.0598619,True,POINT (2329013.335743661 1396623.945283613),329.0,9.88487966332,210426,36.6969513766,993512,1396660.00882,2329006.54696
40,STOP_02b00696-312d-447b-959a-147470685d50,Hiram P&R,33.8852642,-84.7392011,True,POINT (2122831.976812626 1413795.857136086),150.0,10.5414053074,150629,28.8448577707,993528,1413819.99156,2122851.84969
41,6902,Ivan Allen @ Alexander St,33.7649403,-84.386791,False,POINT (2229687.262635723 1369600.874713812),248.0,40.4261721545,34507,109.434256402,51069,1369569.53741,2229582.41117
42,6974,JC Pkwy @ Commerce Way (N),34.0717541,-84.1651071,False,POINT (2297055.591169462 1481171.831248664),293.0,82.3831449664,201574,141.721581293,253962,1481131.57937,2296919.70595
43,6921,JC Pkwy @ E Johns Crossing (N),34.0632101,-84.1645968,False,POINT (2297210.179922594 1478062.796533549),293.0,80.2858247298,197510,94.2170919382,112429,1478114.97255,2296850.09257
44,6917,JC Pkwy @ Johns Creek Ct (N),34.0682583,-84.1618609,False,POINT (2298038.64480993 1479899.790487848),293.0,99.630098206,206405,109.346241722,125132,1479919.86822,2297728.28964
45,6889,John Portman Blvd @ Peachtree St,33.7609177,-84.3878424,False,POINT (2229364.600026477 1368137.861221267),248.0,15.7175927237,148589,82.0695538888,51055,1368150.7371,2229445.65324
46,7004,John Portman Blvd just past Peachtree Center Ave,33.760915,-84.384411,False,POINT (2230407.455539729 1368134.65893123),248.0,7.64031805813,205227,68.7758294289,51072,1368141.26894,2230475.91299
47,6969,Jonesboro P&R,33.5242952,-84.3620825,True,POINT (2237030.759955108 1282024.30377603),245.0,2.77310883421,208769,42.5932136569,993522,1281981.97767,2236621.57196
48,STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9,Lindbergh Center MARTA Station,33.82128296,-84.36898249,False,POINT (2235139.56529075 1390091.195337953),249.0,11.5939180687,210354,15.7181534812,999019,1390105.88872,2235133.98274
49,6988,Mall of Georgia P&R,34.0674946,-83.9828107,True,POINT (2352260.262650635 1479671.897308341),353.0,32.4148335797,197438,516.434883528,2900,1479743.48307,2350941.49686
50,6949,McDonough P&R,33.4168724,-84.1812265,True,POINT (2292140.779330702 1242882.716273503),283.0,9.99943521026,210619,35.8641007246,993518,1242847.2797,2292097.71921
51,6971,Medical Center MARTA Station,33.9108668,-84.3514824,False,POINT (2240512.982939036 1422678.45522284),250.0,38.7496648741,160232,39.0525548692,990032,1422639.75705,2240507.7338
52,Mitchell St (EB) @ Peachtree St,Mitchell St (EB) @ Peachtree St,33.75106626,-84.39323048,False,POINT (2227719.199487565 1364556.791835192),248.0,6.74984352515,36453,83.3905065977,50834,1364504.72667,2227784.3393
53,6882,MLK Jr Dr just before Peachtree St,33.7519084,-84.3916726,False,POINT (2228193.387071725 1364862.182785742),248.0,32.7324679815,113298,78.3556811655,500239,1364796.65325,2228052.70753
54,6954,Newnan P&R,33.4037073,-84.7231185,True,POINT (2126769.88373874 1238546.310967308),163.0,1.27074051001,210117,19.0983913031,993524,1238547.50385,2126970.53896
55,North Ave (EB) @ Peachtree St,North Ave (EB) @ Peachtree St,33.771284,-84.3854028,False,POINT (2230114.037355446 1371908.251069835),248.0,0.159351525103,33797,132.797098266,51867,1371907.80963,2229873.06216
56,6948,Panola Rd P&R,33.7021979,-84.1734052,True,POINT (2294533.994852887 1346699.712493734),287.0,5.9419442286,210451,29.1416279624,993517,1346673.83353,2294520.59658
57,7003,Peachtree Center Ave @ Andrew Young International Blvd,33.759437,-84.3859971,False,POINT (2229924.270197126 1367597.883334296),248.0,18.4094090254,210826,87.9071063353,51004,1367683.99918,2229906.61459
58,7001,Peachtree Center Ave @ Auburn Ave,33.7553249,-84.38604,False,POINT (2229908.048555232 1366101.648864228),248.0,10.879994121,210889,94.7464518961,50997,1366195.79153,2229897.3692
59,7002,Peachtree Center Ave @ John Wesley Dobbs Ave,33.7569484,-84.3860292,False,POINT (2229912.587805793 1366692.381698933),248.0,13.6206870707,176703,68.8477193001,50998,1366759.78712,2229898.56933
60,6880,Peachtree Center Ave between Baker & Peachtree,33.7635222,-84.3859112,False,POINT (2229953.53811311 1369084.302946492),248.0,23.764907461,172322,125.873082036,276591,1368961.13836,2229940.30349
61,Peachtree Center Pkwy (N),Peachtree Center Pkwy (N),33.92758867,-84.34409049,False,POINT (2242766.095859488 1428759.209891885),251.0,2.42681188461,149154,143.722976846,60766,1428695.25643,2242473.55467
62,Peachtree Center Pkwy (S),Peachtree Center Pkwy (S),33.92748638,-84.34420242,False,POINT (2242732.08018019 1428722.047526444),251.0,51.1624223629,149154,164.91631269,60766,1428695.25643,2242473.55467
63,Peachtree Center Pkwy Office Park (N),Peachtree Center Pkwy Office Park (N),33.92555773,-84.34508902,False,POINT (2242461.931051935 1428020.720892744),251.0,6.02811919825,167645,51.7820354959,269477,1427971.91699,2242444.6233
64,Peachtree Center Pkwy Office Park (S),Peachtree Center Pkwy Office Park (S),33.92559497,-84.34520572,False,POINT (2242426.555604811 1428034.333243465),251.0,42.6974967833,167645,64.978691169,269477,1427971.91699,2242444.6233
65,North Ave. (EB) @ Peachtree St.,Peachtree St (NB) @ Linden Ave,33.76950958,-84.38519476,False,POINT (2230175.887581985 1371262.460706126),248.0,14.8091567788,34033,113.18271156,51125,1371373.01936,2230200.11794
66,Peachtree St (NB) @ MARTA Five Points Station,Peachtree St (NB) @ MARTA Five Points Station,33.75341811,-84.39079278,False,POINT (2228462.000441653 1365410.935473759),248.0,1.92956952897,114471,283.294720893,990007,1365573.78424,2229969.03375
67,6888,Peachtree St @ Baker St,33.762541,-84.3874133,False,POINT (2229496.275119021 1368728.249329281),248.0,21.8423151043,146959,53.9636845238,261219,1368758.1952,2229541.16748
68,6895,Ponce de Leon Ave @ W Peachtree St,33.77233826,-84.38771229,False,POINT (2229413.053438051 1372293.360832655),248.0,4.67594382147,127451,118.12356998,51862,1372280.4831,2229153.72173
69,STOP_0bc0e1fb-eab4-4376-b8ba-bd64fe7247d0,Powder Springs P&R,33.8675114,-84.7015643,True,POINT (2134220.415586538 1407274.41974268),170.0,9.82739623301,210490,38.5323214012,993529,1407281.51382,2134182.54193
70,Pryor St (SB) @ Garnett St,Pryor St (SB) @ Garnett St,33.74830922,-84.39341409,False,POINT (2227661.185377016 1363553.716513021),248.0,6.84088371989,198298,97.3597815135,50602,1363468.07094,2227614.88459
71,Pryor St (SB) @ Mitchell St,Pryor St (SB) @ Mitchell St,33.75071571,-84.39150481,False,POINT (2228243.440308172 1364428.090015931),248.0,0.223340530368,210935,5.53866333452,233439,1364423.67828,2228240.09167
72,6999,PtreeDunwoody-Concourse (E),33.9160665,-84.3511391,False,POINT (2240620.534042075 1424570.319529803),250.0,15.9710655856,136523,22.2160144591,210268,1424587.45788,2240606.39798
73,6998,PtreeDunwoody-Concourse (W),33.9168856,-84.3514073,False,POINT (2240539.707212193 1424868.517654714),250.0,79.7834416385,153421,81.5619368347,210270,1424849.4275,2240625.50227
74,6939,Publix,33.9517705,-84.2342806,False,POINT (2276080.085413255 1437518.691821628),291.0,109.597036984,205434,132.556793024,94559,1437621.7307,2275996.69301
75,6952,Riverdale P&R,33.5679493,-84.4034743,True,POINT (2224452.946639316 1297934.382277801),225.0,3.29051239886,210475,67.3075132704,993523,1298001.66512,2224454.76886
76,Sandy Springs MARTA Station,Sandy Springs MARTA Station,33.9322072,-84.3507597,False,POINT (2240746.163314282 1430443.353618264),251.0,61.3561357669,210368,156.861476467,993034,1430293.73715,2240699.04182
77,STOP_f24b301d-699f-4911-8ac0-60f2867a047e,Snellville P&R,33.8537913,-84.0154445,True,POINT (2342492.442099135 1401893.434170326),330.0,33.3357803952,188896,103.768530637,993511,1401911.42843,2342594.63855
78,Spring St (NB) @ Brotherton St,Spring St (NB) @ Brotherton St,33.74875018,-84.39797184,False,POINT (2226276.168651411 1363717.244101909),248.0,14.5295514381,40500,54.9957490884,50553,1363663.92586,2226259.95948
79,6898,Spring St @ 17th St,33.7903204,-84.3894196,False,POINT (2228908.387686627 1378837.631724047),249.0,41.8205956434,147301,155.568248581,51858,1378685.88007,2228942.63554
80,6901,Spring St @ 5th St,33.7770249,-84.3889046,False,POINT (2229054.416571527 1373999.463882178),248.0,38.2799045506,172428,86.2872329619,51877,1373922.47949,2229093.38951
81,6909,Spring St @ W Peachtree Pl,33.7638343,-84.3889046,False,POINT (2229044.068058983 1369199.814192515),248.0,23.5384434243,147986,68.7230783152,51058,1369265.08887,2229022.57206
82,6903,Spring St just before Linden Ave,33.77073318,-84.38896364,False,POINT (2229031.538877513 1371710.139779859),248.0,37.1395590911,168036,146.223660501,224853,1371568.29227,2229067.04441
83,6950,Stockbridge P&R,33.5481698,-84.2789904,True,POINT (2262362.332333682 1290673.623198836),265.0,13.324744371,210460,14.0747528008,999037,1290659.58466,2262005.17867
84,6987,Stone Mountain P&R,33.8224138,-84.1099548,True,POINT (2313806.6143026 1390447.038375596),309.0,1.12853371026,169138,10.9469394183,993513,1390457.46709,2313199.17897
85,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,Sugarloaf Mills P&R,33.9842748,-84.0794849,True,POINT (2323010.275947532 1449350.824556526),311.0,13.9893633307,145781,32.2651242554,227812,1449379.47588,2323025.11306
86,Sugarloaf Mills P&R (GCT),Sugarloaf Mills P&R (GCT),33.98331276,-84.08417535,True,POINT (2321588.766246916 1448999.580071548),311.0,4.87851896655,210420,11.9700683993,500098,1448999.8605,2321397.77806
87,Ted Turner Dr (NB) @ Mitchell St,Ted Turner Dr (NB) @ Mitchell St,33.75220879,-84.39578455,False,POINT (2226943.811269603 1364974.236965469),248.0,2.05851916219,36401,68.5803962213,50824,1365030.46775,2226983.07155
88,Ted Turner Dr (SB) @ Brotherton St,Ted Turner Dr (SB) @ Brotherton St,33.74918754,-84.39803505,False,POINT (2226257.312417764 1363876.428405822),248.0,21.6515070998,40502,74.2727811085,50554,1363802.20281,2226259.95948
89,STOP_b7df8404-b783-4731-a3de-33b77167f80e,Thornton Rd @ Bankhead Hwy,33.7973464,-84.6436715,False,POINT (2151675.023354596 1381656.554049076),189.0,29.6333854246,31292,57.8373705832,33027,1381702.98657,2151640.53883
90,STOP_7050625b-a9d6-45dd-9ea8-79d7e55968c6,Thornton Rd @ Bankhead Hwy N,33.7975603,-84.6435857,False,POINT (2151701.448978849 1381734.26606805),189.0,52.1856733615,31284,68.4722807494,33027,1381702.98657,2151889.15874
91,STOP_e3133ab4-8cb7-4555-93b3-3faba9b51fe7,Thornton Rd @ Maxham Rd,33.7893753,-84.6237159,False,POINT (2157724.475094324 1378728.59240893),189.0,18.8274910139,198037,84.2154728307,305216,1378709.40364,2156909.10474
92,STOP_82875802-85f5-44e6-86a6-eb0b5d77b45d,Thornton Rd @ Maxham Rd N,33.7897587,-84.623791,False,POINT (2157702.277357516 1378868.20273239),189.0,96.7960690811,198037,189.9325331,305216,1378709.40364,2156909.10474
93,STOP_0c2e82f3-d5a1-4a82-bcbf-219194c3301b,Thornton Rd @ N Blairs Bridge Rd N,33.7795575,-84.6068823,False,POINT (2162823.567938587 1375133.889838928),189.0,81.9690611423,32844,82.7033579417,33164,1375052.34632,2162837.37011
94,STOP_16153206-724d-4aac-a936-7ade27ff5271,Thornton Rd @ N Blairs Bridge Rd S,33.7794773,-84.6072257,False,POINT (2162719.100102836 1375105.153180694),189.0,20.5736189974,32453,96.8527722972,33163,1375027.13509,2162206.70438
95,STOP_40f29da1-1006-4e7b-8041-2f98b7c895de,Thornton Rd @ Oak Ridge Rd,33.783392,-84.6097684,False,POINT (2161952.618034846 1376532.91838172),189.0,96.6793315338,32454,148.841964587,199588,1376548.68027,2161804.61299
96,STOP_d5b4d0b9-f615-40ee-8dc1-f9edacf74962,Thornton Rd @ Skyview Dr,33.7819385,-84.6088672,False,POINT (2162224.168304813 1376002.852959106),189.0,28.438848269,32453,76.7088143224,33187,1376077.54736,2162206.70438
97,STOP_cc2a7a34-e728-4710-bc09-9cb16ae12282,Thornton Rd @ Westfork Blvd,33.792291,-84.6300995,False,POINT (2155789.792042454 1379798.203250903),189.0,95.6924308472,201790,1139.55908876,33088,1380207.84684,2154726.40733
98,STOP_7be618c3-765a-4f46-83a4-1b306a89f681,Town Center/Big Shanty,34.0275707,-84.5705652,False,POINT (2174213.478656594 1465335.539516289),192.0,24.8679159828,180131,63.3837850786,993535,1465365.15684,2174021.46094
99,6933,Triangle Pkwy at Metric Dr (N),33.9753055,-84.2239274,False,POINT (2279224.371403896 1446080.682252503),291.0,8.49858988856,37130,48.4747272558,109693,1446087.26298,2279176.34544
100,6932,Triangle Pkwy at Metric Dr (S),33.9753556,-84.2242891,False,POINT (2279114.729941837 1446098.974077631),291.0,33.3438411176,37074,62.7185731783,109693,1446087.26298,2278664.60106
101,6953,Union City P&R,33.5866936,-84.5124578,True,POINT (2191279.765674398 1304847.985863012),206.0,0.201986069174,204697,7.55082622563,993525,1304840.43819,2191279.54748
102,6916,W Johns Crossing @ Emory Hospital,34.067414,-84.1749179,False,POINT (2294084.619003193 1479592.628564352),293.0,36.8710043243,203421,79.4225624838,232286,1479607.00467,2294433.46519
103,W Peachtree St @ 12th St,W Peachtree St @ 12th St,33.78425259,-84.38782298,False,POINT (2229388.721089438 1376628.693065146),249.0,9.32729346345,32467,70.4002082363,51931,1376698.15635,2229400.16842
104,6896,W Peachtree St @ 5th St,33.7760885,-84.3872416,False,POINT (2229559.005196201 1373657.651054606),248.0,19.5065640026,33213,77.0807161709,51879,1373583.12124,2229539.6665
105,6899,W Peachtree St @ Arts Center MARTA Station,33.7892148,-84.3876922,False,POINT (2229432.329916415 1378434.206629124),249.0,0.00927329251607,176318,25.5961861492,285785,1378437.44749,2229406.93973
106,6904,W Peachtree St @ Civic Center MARTA Station (northbound),33.7661533,-84.3874776,False,POINT (2229479.549019166 1370042.693618472),248.0,2.49070017314,129259,83.8220414737,51097,1370126.4838,2229476.81722
107,6887,W Peachtree St @ Civic Center MARTA Station (southbound),33.7661444,-84.3875849,False,POINT (2229446.933866836 1370039.525051443),248.0,26.6651320879,35309,125.885595895,990026,1370162.20486,2229448.36681
108,6897,W Peachtree St @ Peachtree Pl,33.780596,-84.387328,False,POINT (2229536.263416494 1375297.848556044),249.0,20.1202455427,183196,67.2458018754,51929,1375347.99829,2229491.46384
109,6894,W Peachtree St @ Ponce de Leon Ave,33.7721199,-84.3872631,False,POINT (2229549.381338057 1372213.613949234),248.0,23.5232799201,127461,69.4910818959,51862,1372280.4831,2229530.47295
110,6900,W Peachtree St after 14 St,33.7869499,-84.3877137,False,POINT (2229424.02967377 1377610.091540404),249.0,24.490827268,32151,103.600175363,51950,1377509.59239,2229403.36231
111,Wall St (EB) @ Central Ave,Wall St (EB) @ Central Ave,33.7526685,-84.38853165,False,POINT (2229148.667239997 1365136.690268807),248.0,70.4151857803,173791,73.8644083344,13230,1365109.27632,2229217.25606
112,7008,Washington St @ MLK Jr Dr,33.7503117,-84.3884003,False,POINT (2229186.7465583 1364279.040716593),248.0,45.794074343,164044,46.0313860964,224903,1364257.79967,2229172.6925
113,6947,West Conyers P&R (Sigman Rd -  Downtown),33.6851303,-84.0588963,True,POINT (2329365.190687482 1340506.47084474),327.0,10.9863257156,202731,27.477869385,993516,1340533.45736,2329397.7614
114,6946,West Conyers P&R (Sigman Rd -  Midtown),33.6851328,-84.0566843,True,POINT (2330038.041688049 1340508.089644551),327.0,13.5695801691,202738,13.9901078579,994516,1340508.24743,2330006.28709
115,2221057,West Conyers P&R (Sigman Rd - Perimeter),33.6850857,-84.0569758,True,POINT (2329949.390651396 1340490.857416155),327.0,21.5034971997,202734,76.6602878867,994516,1340508.24743,2329653.51909
116,6990,West Douglas P&R,33.7232689,-84.7735226,True,POINT (2112068.658147034 1354909.146008998),148.0,15.7959067253,184052,24.3604022737,993526,1354893.08776,2112172.73326
117,6873,Williams St @ Baker St,33.7624608,-84.3906641,False,POINT (2228508.259917719 1368701.198042984),248.0,49.7370268997,34843,94.151795532,50923,1368622.04127,2228556.57037
118,6976,Woodstock P&R (His Hands Church),34.0815631,-84.5417543,True,POINT (2183014.443086023 1484949.50031813),213.0,22.7628225677,210643,62.460170455,993537,1484923.96451,2182320.5736
119,8000,Mitchell St (EB) @ Forsyth St,33.751718,-84.394543,False,POINT (2227320.781887148 1364794.818080191),248.0,11.75644311,36512,68.5569620623,50828,1364767.59458,2227383.70198
