,stopid,Station Name,Occupancy,Mile Post,Elevation,Grade_to_next_station,Mile_start,Mile_end,Station_start,Station_end,energy_consumption_kwh,duration (sec),energy_consumption_kwh_per_passenger,CO2,CH4,N2O,CO,VOC,NOx,PM10,PM2.5,SO2,CO2 equivalent,route
0,1,HAMILTON E HOLMES STATION,80.0,0.0,200,-0.0,0.0,1.395040032,HAMILTON E HOLMES STATION,WEST LAKE STATION,33.1163446794,181.0,0.0808504508774,0.0471597260459,0.000702176517566,0.000753317180218,0.041526792155,0.000877958105394,0.0349604831171,0.00430202519179,0.00235167881943,0.157767752407,4.71985779025e-05,blue
1,2,WEST LAKE STATION,80.0,1.395040032,200,-0.0,1.395040032,3.169116374,WEST LAKE STATION,ASHBY STATION,52.8028206234,182.0,0.128913136288,0.0751944871681,0.00111959520478,0.0012011371522,0.0662129766571,0.00139987262492,0.0557432330413,0.00685942445396,0.00374966730382,0.251555007389,7.52564350563e-05,blue
2,3,ASHBY STATION,80.0,3.169116374,200,-0.0,3.169116374,3.933775527,ASHBY STATION,VINE CITY STATION,117.695909721,58.0,0.287343529592,0.167606265513,0.0024955442643,0.00267729882909,0.1475867469,0.00312027426068,0.124250001157,0.0152894521872,0.00835789640142,0.560708596433,0.000167744345505,blue
3,4,VINE CITY STATION,80.0,3.933775527,200,-0.0,3.933775527,4.318342039,VINE CITY STATION,DOME-GWCC-PHILIPS ARENA-CNN STATION,30.5435798053,61.0,0.0745692866341,0.0434959495085,0.000647625355677,0.00069479296811,0.0383006307769,0.000809750705202,0.032244449575,0.00396780656326,0.00216898001254,0.145510985074,4.3531783016e-05,blue
4,5,DOME-GWCC-PHILIPS ARENA-CNN STATION,80.0,4.318342039,200,-0.0,4.318342039,4.735654803,DOME-GWCC-PHILIPS ARENA-CNN STATION,FIVE POINTS STATION,35.8029423217,64.0,0.0874095271525,0.050985607496,0.000759141312286,0.00081443081398,0.0448956960294,0.000949183362856,0.0377966883935,0.0046510314257,0.00254246119088,0.170566824157,5.10276112496e-05,blue
5,6,FIVE POINTS STATION,80.0,4.735654803,200,-0.0,4.735654803,5.229893296,FIVE POINTS STATION,GEORGIA STATE STATION,49.6080008218,58.0,0.121113283256,0.0706448658839,0.001051854412,0.00112846268684,0.0622067791387,0.00131517372571,0.0523705044139,0.00644439690781,0.00352279473887,0.236334742462,7.07030656326e-05,blue
6,7,GEORGIA STATE STATION,80.0,5.229893296,200,-0.0,5.229893296,5.827341513,GEORGIA STATE STATION,KING MEMORIAL STATION,14.9712844071,123.0,0.0365509873221,0.0213200363154,0.000317440963073,0.000340560706896,0.0187734915157,0.000396908554391,0.0158049851463,0.00194486569386,0.00106315031991,0.071323870869,2.13376005182e-05,blue
7,8,KING MEMORIAL STATION,80.0,5.827341513,200,-0.0,5.827341513,7.386982723,KING MEMORIAL STATION,INMAN PARK-REYNOLDSTOWN STATION,42.4481355918,181.0,0.103633143535,0.0604487743152,0.000900041484516,0.000965592975889,0.0532285468445,0.00112535622704,0.044811930244,0.00551428457544,0.00301435385946,0.202224823151,6.04985741616e-05,blue
8,9,INMAN PARK-REYNOLDSTOWN STATION,80.0,7.386982723,200,-0.0,7.386982723,8.269888777,INMAN PARK-REYNOLDSTOWN STATION,EDGEWOOD-CANDLER PARK STATION,31.4894365216,121.0,0.0768785071327,0.0448429080587,0.000667680660136,0.000716308933149,0.0394867035649,0.000834826617975,0.0332429778871,0.00409067940628,0.00223614778807,0.150017088923,4.48798512384e-05,blue
9,10,EDGEWOOD-CANDLER PARK STATION,80.0,8.269888777,200,-0.0,8.269888777,10.0915,EDGEWOOD-CANDLER PARK STATION,EAST LAKE STATION,56.6152314814,181.0,0.138220779984,0.0806235963702,0.00120043097956,0.00128786032848,0.0709936127703,0.00150094468001,0.0597679443049,0.00735468103229,0.00402039663559,0.269717503828,8.06900169513e-05,blue
10,11,EAST LAKE STATION,80.0,10.0915,200,-0.0,10.0915,11.44167705,EAST LAKE STATION,DECATUR STATION,72.0579323382,121.0,0.175922686373,0.102614958909,0.00152786753738,0.00163914462562,0.0903582447971,0.00191035110809,0.0760705975056,0.00936078674106,0.00511702347866,0.343287223822,0.000102699496756,blue
11,12,DECATUR STATION,80.0,11.44167705,200,-0.0,11.44167705,12.3982777,DECATUR STATION,AVONDALE STATION,34.8380723874,121.0,0.0850538876646,0.0496115729457,0.000738682864444,0.000792482343967,0.0436857812998,0.000923603384521,0.0367780880808,0.00452568864393,0.00247394323669,0.165970140484,4.96524447209e-05,blue
12,13,AVONDALE STATION,80.0,12.3982777,200,-0.0,12.3982777,14.42854531,AVONDALE STATION,KENSINGTON STATION,70.2652581248,181.0,0.171546040344,0.100062079791,0.00148985688891,0.00159836559954,0.0881102910999,0.00186282494326,0.0741780952631,0.00912790688367,0.00498972096329,0.334746843409,0.000100144514485,blue
13,14,KENSINGTON STATION,80.0,14.42854531,200,-0.0,14.42854531,15.85,KENSINGTON STATION,INDIAN CREEK STATION,75.1754935823,120.0,0.183533919879,0.107054559222,0.00159397019209,0.00171006164464,0.0942675626602,0.00199300178074,0.079361765305,0.00976577790597,0.00533840971005,0.358139425514,0.000107142754569,blue
0,1,AIRPORT STATION,80.0,0.0,200,-0.0,0.0,0.874952505,AIRPORT STATION,COLLEGE PARK STATION,115.660758378,61.0,0.376499864511,0.219610778591,0.00326985639359,0.00350800537545,0.193379646622,0.00408842627517,0.162802025394,0.0200334306643,0.0109511665956,0.734684058788,0.000219791701747,gold
1,2,COLLEGE PARK STATION,80.0,0.874952505,200,-0.0,0.874952505,2.801699702,COLLEGE PARK STATION,EAST POINT STATION,45.1915919338,181.0,0.147108046659,0.085807501434,0.00127761583007,0.00137066667773,0.0755583328436,0.00159745184513,0.0636108806546,0.00782756949128,0.00427889855582,0.287059696398,8.58781927002e-05,gold
2,3,EAST POINT STATION,80.0,2.801699702,200,-0.0,2.801699702,4.850235615,EAST POINT STATION,LAKEWOOD-FT MCPHERSON STATION,52.1454118096,181.0,0.169744179068,0.09901106173,0.00147420793875,0.00158157691078,0.0871848105629,0.00184325846348,0.0733989537737,0.00903203045357,0.00493731063097,0.331230776392,9.90926305579e-05,gold
3,4,LAKEWOOD-FT MCPHERSON STATION,80.0,4.850235615,200,-0.0,4.850235615,6.06650721,LAKEWOOD-FT MCPHERSON STATION,OAKLAND CITY STATION,40.2937925947,121.0,0.131164689436,0.0765078085968,0.00113914967519,0.00122211580663,0.0673694300671,0.00142432232575,0.0567168254576,0.00697922883674,0.00381515772214,0.255948581893,7.65708384458e-05,gold
4,5,OAKLAND CITY STATION,80.0,6.06650721,200,-0.0,6.06650721,7.68163685,OAKLAND CITY STATION,WEST END STATION,68.2418821874,121.0,0.222141543579,0.129574222839,0.00192927279668,0.00206978488558,0.11409739351,0.00241224342738,0.0960560590524,0.0118200765271,0.00646138094817,0.433476519504,0.000129680970684,gold
5,6,WEST END STATION,80.0,7.68163685,200,-0.0,7.68163685,9.351695687,WEST END STATION,GARNETT STATION,72.227362333,121.0,0.235115111761,0.137141650288,0.00204194668814,0.00219066500058,0.120760939149,0.00255312389518,0.101665949987,0.0125103957095,0.00683874019819,0.458792527895,0.000137254632449,gold
6,7,GARNETT STATION,80.0,9.351695687,200,-0.0,9.351695687,9.779136798,GARNETT STATION,FIVE POINTS STATION,6.88630640613,122.0,0.0224163619991,0.0130753691458,0.000194683428901,0.000208862541008,0.011513598199,0.000243420123166,0.00969304236047,0.00119276705302,0.000652019662846,0.0437422303941,1.30861410991e-05,gold
7,8,FIVE POINTS STATION,80.0,9.779136798,200,-0.0,9.779136798,10.28797751,FIVE POINTS STATION,PEACHTREE CENTER STATION,39.4329105251,61.0,0.128362338949,0.0748732094101,0.00111481159563,0.00119600514498,0.0659300735149,0.00139389149578,0.0555050631753,0.00683011671355,0.00373364638593,0.250480207469,7.49348926182e-05,gold
8,9,PEACHTREE CENTER STATION,80.0,10.28797751,200,-0.0,10.28797751,10.75400576,PEACHTREE CENTER STATION,CIVIC CENTER STATION,33.2125979788,61.0,0.108113925712,0.0630623956082,0.000938956543014,0.00100734228166,0.0555299874446,0.00117401321025,0.046749461921,0.00575270548216,0.0031446853595,0.210968409928,6.31143486486e-05,gold
9,10,CIVIC CENTER STATION,80.0,10.75400576,200,-0.0,10.75400576,11.13546542,CIVIC CENTER STATION,NORTH AVENUE STATION,22.5540394662,61.0,0.0734180972206,0.0428244655925,0.000637627412998,0.000684066858935,0.0377093514088,0.000797249895801,0.0317466646199,0.00390655216327,0.00213549562585,0.143264608407,4.28597459076e-05,gold
10,11,NORTH AVENUE STATION,80.0,11.13546542,200,-0.0,11.13546542,11.78579231,NORTH AVENUE STATION,MIDTOWN STATION,63.9572152793,60.0,0.208194060154,0.121438714747,0.00180814056756,0.00193983039836,0.106933620902,0.00226078717711,0.0900250381551,0.0110779356434,0.00605569364527,0.406260058893,0.000121538760271,gold
11,12,MIDTOWN STATION,80.0,11.78579231,200,-0.0,11.78579231,12.38516677,MIDTOWN STATION,ARTS CENTER STATION,11.5271187561,121.0,0.0375231730341,0.0218871081293,0.000325884279966,0.000349618964349,0.0192728301533,0.000407465555824,0.0162253672444,0.00199659536733,0.00109142806632,0.0732209481646,2.19051395061e-05,gold
12,13,ARTS CENTER STATION,80.0,12.38516677,200,-0.0,12.38516677,15.33841886,ARTS CENTER STATION,LINDBERGH CENTER STATION,67.7770827696,241.0,0.220628524641,0.128691685291,0.00191613240776,0.00205568746067,0.113320269544,0.00239581349748,0.0954018156627,0.0117395693003,0.00641737210776,0.430524085787,0.00012879770607,gold
13,14,LINDBERGH CENTER STATION,80.0,15.33841886,200,-0.0,15.33841886,17.30717074,LINDBERGH CENTER STATION,LENOX STATION,48.2264130846,181.0,0.15698702176,0.0915698658276,0.00136341354991,0.00146271318563,0.080632418903,0.00170472800955,0.067882640904,0.0083532264207,0.00456624607521,0.306337061963,9.16453043341e-05,gold
14,15,LENOX STATION,80.0,17.30717074,200,-0.0,17.30717074,19.04893579,LENOX STATION,BROOKHAVEN-OGLETHORPE STATION,38.6733458928,181.0,0.125889797828,0.0734309866318,0.00109333787105,0.00117296745397,0.0646601152141,0.00136704207819,0.0544359135148,0.00669855363538,0.00366172814032,0.245655407469,7.34914816856e-05,gold
15,16,BROOKHAVEN-OGLETHORPE STATION,80.0,19.04893579,200,-0.0,19.04893579,22.03599046,BROOKHAVEN-OGLETHORPE STATION,CHAMBLEE STATION,71.625020415,241.0,0.23315436333,0.135997954022,0.002024917822,0.00217239589431,0.119753850238,0.00253183205378,0.100818104221,0.0124060649475,0.00678170835105,0.454966415986,0.000136109993964,gold
16,17,CHAMBLEE STATION,80.0,22.03599046,200,-0.0,22.03599046,24.15,CHAMBLEE STATION,DORAVILLE STATION,54.6013670468,180.0,0.177738825022,0.103674304902,0.00154364048482,0.00165606634259,0.0912910585466,0.00193007262641,0.0768559126636,0.00945742286539,0.00516984909372,0.346831151032,0.000103759715476,gold
0,1,BANKHEAD STATION,80.0,0.0,200,-0.0,0.0,1.616993753,BANKHEAD STATION,ASHBY STATION,7.6049279752,243.0,0.0742668747578,0.0433195539401,0.000644998944619,0.000691975271245,0.0381453045543,0.000806466803194,0.0321136838812,0.00395171532943,0.00216018382653,0.144920872818,4.33552421266e-05,green
1,2,ASHBY STATION,80.0,1.616993753,200,-0.0,1.616993753,2.388053027,ASHBY STATION,VINE CITY STATION,29.9325785217,61.0,0.292310337126,0.170503383341,0.00253868039502,0.00272357663467,0.15013782215,0.00317420901164,0.126397694696,0.015553734339,0.00850236481132,0.570400590142,0.000170643850081,green
2,3,VINE CITY STATION,80.0,2.388053027,200,-0.0,2.388053027,2.780013854,VINE CITY STATION,DOME-GWCC-PHILIPS ARENA-CNN STATION,7.92015048355,61.0,0.0773452195659,0.045115139447,0.000671734001923,0.000720657486439,0.0397264186191,0.000839894665948,0.033444788662,0.00411551301726,0.00224972294729,0.150927809529,4.51523069006e-05,green
3,4,DOME-GWCC-PHILIPS ARENA-CNN STATION,80.0,2.780013854,200,-0.0,2.780013854,3.177069923,DOME-GWCC-PHILIPS ARENA-CNN STATION,FIVE POINTS STATION,8.11926341867,61.0,0.079289681823,0.0462493360576,0.000688621424583,0.000738774847674,0.0407251425486,0.000861009655174,0.0342855921353,0.00421897719741,0.00230628108216,0.154722141368,4.62874379026e-05,green
4,5,FIVE POINTS STATION,80.0,3.177069923,200,-0.0,3.177069923,3.625886196,FIVE POINTS STATION,GEORGIA STATE STATION,10.2848387405,60.0,0.100437878325,0.0585849896328,0.000872290987483,0.000935821364831,0.0515873795687,0.00109065872123,0.0434302679999,0.00534426559255,0.00292141390139,0.195989733489,5.86332540272e-05,green
5,6,GEORGIA STATE STATION,80.0,3.625886196,200,-0.0,3.625886196,4.758894077,GEORGIA STATE STATION,KING MEMORIAL STATION,12.3018413347,121.0,0.120135169284,0.0700743361406,0.00104335960888,0.00111934919333,0.0617043955997,0.00130455234907,0.0519475588812,0.0063923517936,0.00349434455848,0.234426097038,7.01320658666e-05,green
6,7,KING MEMORIAL STATION,80.0,4.758894077,200,-0.0,4.758894077,6.318535287,KING MEMORIAL STATION,INMAN PARK-REYNOLDSTOWN STATION,10.257136929,181.0,0.100167352822,0.0584271932508,0.000869941505768,0.000933300766525,0.0514484309761,0.00108772107455,0.0433132902688,0.00532987102185,0.00291354518712,0.195461842795,5.84753276469e-05,green
7,8,INMAN PARK-REYNOLDSTOWN STATION,80.0,6.318535287,200,-0.0,6.318535287,7.21,INMAN PARK-REYNOLDSTOWN STATION,EDGEWOOD-CANDLER PARK STATION,7.59014863946,120.0,0.0741225453073,0.043235367182,0.000643745460565,0.0006906304939,0.0380711733771,0.000804899524229,0.0320512744912,0.0039440356081,0.00215598574838,0.144639235142,4.32709860125e-05,green
0,1,AIRPORT STATION,80.0,0.0,200,-0.0,0.0,0.874952505,AIRPORT STATION,COLLEGE PARK STATION,115.660758378,61.0,0.376499864511,0.219610778591,0.00326985639359,0.00350800537545,0.193379646622,0.00408842627517,0.162802025394,0.0200334306643,0.0109511665956,0.734684058788,0.000219791701747,red
1,2,COLLEGE PARK STATION,80.0,0.874952505,200,-0.0,0.874952505,2.801699702,COLLEGE PARK STATION,EAST POINT STATION,46.8715686808,181.0,0.152576720966,0.0889973560278,0.00132511061382,0.00142162058415,0.0783671792858,0.00165683638635,0.0659755860297,0.00811855580462,0.00443796465129,0.297731009231,8.90706752094e-05,red
2,3,EAST POINT STATION,80.0,2.801699702,200,-0.0,2.801699702,4.850235615,EAST POINT STATION,LAKEWOOD-FT MCPHERSON STATION,51.1018002925,181.0,0.166347006161,0.0970295051413,0.00144470389745,0.00154992404197,0.0854399384972,0.00180636843434,0.0719299847725,0.00885126803025,0.00483849782925,0.324601693582,9.71094414925e-05,red
3,4,LAKEWOOD-FT MCPHERSON STATION,80.0,4.850235615,200,-0.0,4.850235615,6.06650721,LAKEWOOD-FT MCPHERSON STATION,OAKLAND CITY STATION,41.1482121096,121.0,0.133946002961,0.0781301370127,0.00116330505124,0.00124803045817,0.0687979815152,0.00145452471456,0.0579194911631,0.00712722159029,0.003896057161,0.261375905784,7.81945033934e-05,red
4,5,OAKLAND CITY STATION,80.0,6.06650721,200,-0.0,6.06650721,7.68163685,OAKLAND CITY STATION,WEST END STATION,73.0221384236,121.0,0.237702273514,0.138650730797,0.00206441587922,0.00221477065956,0.122089769443,0.00258121798256,0.102784662669,0.0126480577128,0.00691399238827,0.463840993186,0.000138764956192,red
5,6,WEST END STATION,80.0,7.68163685,200,-0.0,7.68163685,9.351695687,WEST END STATION,GARNETT STATION,79.4259511789,121.0,0.25854801816,0.150809965484,0.00224545868384,0.00240899910734,0.132796659706,0.00280758271245,0.111798555553,0.0137572527468,0.0075203278586,0.504518395035,0.000150934208087,red
6,7,GARNETT STATION,80.0,9.351695687,200,-0.0,9.351695687,9.779136798,GARNETT STATION,FIVE POINTS STATION,6.95151772147,122.0,0.0226286384162,0.0131991890821,0.000196527024252,0.00021084040842,0.0116226286194,0.000245725240811,0.00978483264755,0.0012040622095,0.000658194099087,0.0441564565717,1.32100630426e-05,red
7,8,FIVE POINTS STATION,80.0,9.779136798,200,-0.0,9.779136798,10.28797751,FIVE POINTS STATION,PEACHTREE CENTER STATION,39.4329105251,61.0,0.128362338949,0.0748732094101,0.00111481159563,0.00119600514498,0.0659300735149,0.00139389149578,0.0555050631753,0.00683011671355,0.00373364638593,0.250480207469,7.49348926182e-05,red
8,9,PEACHTREE CENTER STATION,80.0,10.28797751,200,-0.0,10.28797751,10.75400576,PEACHTREE CENTER STATION,CIVIC CENTER STATION,33.2125979788,61.0,0.108113925712,0.0630623956082,0.000938956543014,0.00100734228166,0.0555299874446,0.00117401321025,0.046749461921,0.00575270548216,0.0031446853595,0.210968409928,6.31143486486e-05,red
9,10,CIVIC CENTER STATION,80.0,10.75400576,200,-0.0,10.75400576,11.13546542,CIVIC CENTER STATION,NORTH AVENUE STATION,22.5540394662,61.0,0.0734180972206,0.0428244655925,0.000637627412998,0.000684066858935,0.0377093514088,0.000797249895801,0.0317466646199,0.00390655216327,0.00213549562585,0.143264608407,4.28597459076e-05,red
10,11,NORTH AVENUE STATION,80.0,11.13546542,200,-0.0,11.13546542,11.78579231,NORTH AVENUE STATION,MIDTOWN STATION,63.9572152793,60.0,0.208194060154,0.121438714747,0.00180814056756,0.00193983039836,0.106933620902,0.00226078717711,0.0900250381551,0.0110779356434,0.00605569364527,0.406260058893,0.000121538760271,red
11,12,MIDTOWN STATION,80.0,11.78579231,200,-0.0,11.78579231,12.38516677,MIDTOWN STATION,ARTS CENTER STATION,12.0037037057,121.0,0.0390745563336,0.0227920234465,0.000339357858787,0.000364073845922,0.0200696590038,0.000424312085776,0.0168961997389,0.00207914394887,0.00113655280226,0.076248244285,2.28108003246e-05,red
12,13,ARTS CENTER STATION,80.0,12.38516677,200,-0.0,12.38516677,15.33841886,ARTS CENTER STATION,LINDBERGH CENTER STATION,70.0752744246,241.0,0.228109617267,0.13305537498,0.00198110480446,0.00212539190315,0.117162743832,0.00247705096539,0.0986367093416,0.0121376357129,0.00663497296076,0.445122336712,0.000133164990721,red
13,14,LINDBERGH CENTER STATION,80.0,15.33841886,200,-0.0,15.33841886,17.635876,LINDBERGH CENTER STATION,BUCKHEAD STATION,44.0234296648,241.0,0.143305435107,0.0835894541983,0.00124459060252,0.00133523616892,0.0736052174574,0.00155615914239,0.0619665962314,0.00762523381453,0.00416829285172,0.279639459758,8.36583181584e-05,red
14,15,BUCKHEAD STATION,80.0,17.635876,200,-0.0,17.635876,22.6795444,BUCKHEAD STATION,MEDICAL CENTER STATION,149.240505514,301.0,0.48580893722,0.283370298388,0.00421919264565,0.00452648333732,0.249523491138,0.0052754176319,0.210068279936,0.0258497295147,0.0141306149261,0.947984622137,0.000283603748901,red
15,16,MEDICAL CENTER STATION,80.0,22.6795444,200,-0.0,22.6795444,23.69026647,MEDICAL CENTER STATION,DUNWOODY STATION,29.8544271428,121.0,0.0971823800222,0.0566860712414,0.000844017373214,0.000905488537055,0.0499152750852,0.00105530714196,0.0420225604085,0.00517104162706,0.0028267219569,0.189637107812,5.67327712394e-05,red
16,17,DUNWOODY STATION,80.0,23.69026647,200,-0.0,23.69026647,24.65941882,DUNWOODY STATION,SANDY SPRINGS STATION,27.0783830621,121.0,0.0881457781969,0.0514150596163,0.000765535564746,0.00082129077029,0.0452738527837,0.000957178340806,0.0381150501581,0.00469020709517,0.00256387635886,0.172003509682,5.14574171678e-05,red
17,18,SANDY SPRINGS STATION,80.0,24.65941882,200,-0.0,24.65941882,25.86,SANDY SPRINGS STATION,NORTH SPRINGS STATION,38.7071349793,120.0,0.125999788344,0.0734951436345,0.00109429312556,0.00117399228122,0.0647166090647,0.00136823646936,0.0544834744317,0.00670440619359,0.00366492740964,0.245870037769,7.35556915432e-05,red
